ths+,ths-,accuracy,recursion,precision,F1
1.0,0.0,0.7405,0.8247,0.7864,0.8051
1.0,-0.1,0.7463,0.8256,0.7963,0.8106
1.0,-0.2,0.7471,0.8261,0.7969,0.8112
1.0,-0.3,0.7454,0.8255,0.7945,0.8097
1.0,-0.4,0.7465,0.8249,0.7975,0.811
1.1,0.0,0.7467,0.8264,0.7958,0.8108
1.1,-0.1,0.7462,0.8248,0.7972,0.8107
1.1,-0.2,0.7442,0.8236,0.7952,0.8091
1.1,-0.3,0.7469,0.8267,0.7956,0.8108
1.1,-0.4,0.7453,0.8247,0.7956,0.8099
1.2,0.0,0.7448,0.826,0.7928,0.809
1.2,-0.1,0.7451,0.8262,0.7928,0.8092
1.2,-0.2,0.7456,0.8243,0.7969,0.8103
1.2,-0.3,0.7466,0.8262,0.7957,0.8107
1.2,-0.4,0.7453,0.8246,0.7958,0.8099
1.3,0.0,0.7477,0.8285,0.7943,0.811
1.3,-0.1,0.7479,0.8283,0.7951,0.8113
1.3,-0.2,0.7485,0.826,0.7995,0.8125
1.3,-0.3,0.7489,0.8289,0.7959,0.812
1.3,-0.4,0.7448,0.8256,0.7933,0.8091
1.4,0.0,0.7449,0.8258,0.7932,0.8091
1.4,-0.1,0.7478,0.8265,0.7975,0.8117
1.4,-0.2,0.7471,0.8259,0.7971,0.8112
1.4,-0.3,0.7471,0.8262,0.797,0.8113
1.4,-0.4,0.7472,0.8273,0.7951,0.8109
