ths+,ths-,accuracy,recursion,precision,F1
0.0,0.0,0.2137,0.2923,0.1079,0.1576
0.0,0.1,0.2104,0.2854,0.1053,0.1538
0.0,0.2,0.2082,0.2786,0.1014,0.1487
0.0,0.3,0.2061,0.2736,0.0998,0.1462
0.0,0.4,0.2064,0.2734,0.099,0.1453
0.0,0.5,0.2076,0.27,0.0952,0.1408
0.0,0.6,0.207,0.2717,0.097,0.143
0.0,0.7,0.2051,0.264,0.0931,0.1376
0.0,0.8,0.2063,0.2642,0.0919,0.1364
0.0,0.9,0.209,0.2678,0.0923,0.1372
0.1,0.0,0.4419,0.6521,0.3889,0.4872
0.1,0.1,0.2183,0.3031,0.1128,0.1644
0.1,0.2,0.2072,0.2853,0.1083,0.157
0.1,0.3,0.2063,0.2783,0.1031,0.1505
0.1,0.4,0.2072,0.2788,0.1026,0.15
0.1,0.5,0.2062,0.276,0.1012,0.148
0.1,0.6,0.207,0.2703,0.0959,0.1416
0.1,0.7,0.2056,0.2673,0.0948,0.14
0.1,0.8,0.2079,0.2687,0.0941,0.1393
0.1,0.9,0.2055,0.2663,0.0943,0.1392
0.2,0.0,0.6337,0.7908,0.6291,0.7007
0.2,0.1,0.5712,0.757,0.5467,0.6348
0.2,0.2,0.2462,0.3326,0.105,0.1595
0.2,0.3,0.208,0.2885,0.1106,0.1598
0.2,0.4,0.2065,0.2788,0.1031,0.1505
0.2,0.5,0.2087,0.2833,0.105,0.1532
0.2,0.6,0.2059,0.2712,0.0977,0.1436
0.2,0.7,0.2033,0.2601,0.0914,0.1352
0.2,0.8,0.2051,0.2664,0.0946,0.1396
0.2,0.9,0.2084,0.2708,0.0952,0.1409
0.3,0.0,0.7031,0.8203,0.7231,0.7686
0.3,0.1,0.6852,0.8153,0.6957,0.7508
0.3,0.2,0.6265,0.7927,0.6124,0.691
0.3,0.3,0.2811,0.3865,0.093,0.1499
0.3,0.4,0.2085,0.2925,0.1135,0.1635
0.3,0.5,0.2061,0.2818,0.1062,0.1542
0.3,0.6,0.2065,0.2792,0.1032,0.1507
0.3,0.7,0.2064,0.2723,0.098,0.1441
0.3,0.8,0.2068,0.2679,0.0944,0.1396
0.3,0.9,0.2057,0.2653,0.0932,0.1379
0.4,0.0,0.7221,0.8251,0.7517,0.7867
0.4,0.1,0.7178,0.8256,0.743,0.7822
0.4,0.2,0.6994,0.821,0.7152,0.7643
0.4,0.3,0.6567,0.8087,0.6503,0.7209
0.4,0.4,0.3047,0.441,0.0745,0.1275
0.4,0.5,0.2072,0.2899,0.1121,0.1617
0.4,0.6,0.2062,0.2795,0.1043,0.1519
0.4,0.7,0.2095,0.2821,0.1033,0.1512
0.4,0.8,0.2076,0.2718,0.0967,0.1426
0.4,0.9,0.207,0.2684,0.0947,0.14
0.5,0.0,0.7297,0.8266,0.7638,0.7939
0.5,0.1,0.7272,0.826,0.7599,0.7916
0.5,0.2,0.7171,0.8276,0.739,0.7808
0.5,0.3,0.6981,0.8223,0.7107,0.7624
0.5,0.4,0.6645,0.8125,0.6605,0.7286
0.5,0.5,0.3143,0.4723,0.0492,0.089
0.5,0.6,0.2095,0.2933,0.113,0.1631
0.5,0.7,0.2062,0.2821,0.1065,0.1546
0.5,0.8,0.2057,0.2763,0.102,0.149
0.5,0.9,0.2069,0.2766,0.1012,0.1481
0.6,0.0,0.7414,0.83,0.7805,0.8045
0.6,0.1,0.734,0.8287,0.7689,0.7976
0.6,0.2,0.7253,0.8289,0.7524,0.7887
0.6,0.3,0.7146,0.826,0.7368,0.7788
0.6,0.4,0.6995,0.8252,0.7099,0.7631
0.6,0.5,0.6659,0.8142,0.6608,0.7295
0.6,0.6,0.3038,0.4383,0.0744,0.1272
0.6,0.7,0.2075,0.2893,0.1116,0.161
0.6,0.8,0.2083,0.2842,0.1062,0.1546
0.6,0.9,0.2063,0.2762,0.1014,0.1483
0.7,0.0,0.7413,0.8285,0.7825,0.8048
0.7,0.1,0.7358,0.8261,0.7758,0.8001
0.7,0.2,0.7312,0.8281,0.7645,0.795
0.7,0.3,0.7252,0.8287,0.7526,0.7888
0.7,0.4,0.7146,0.8255,0.7371,0.7788
0.7,0.5,0.6974,0.8228,0.7089,0.7615
0.7,0.6,0.6586,0.8087,0.654,0.7232
0.7,0.7,0.2813,0.3885,0.0939,0.1513
0.7,0.8,0.209,0.2921,0.1126,0.1625
0.7,0.9,0.2063,0.2776,0.1023,0.1495
0.8,0.0,0.7409,0.827,0.784,0.8049
0.8,0.1,0.7388,0.8266,0.7806,0.8029
0.8,0.2,0.7398,0.8291,0.7789,0.8032
0.8,0.3,0.735,0.8295,0.7696,0.7984
0.8,0.4,0.7226,0.8256,0.7518,0.787
0.8,0.5,0.7187,0.8284,0.7409,0.7822
0.8,0.6,0.6974,0.8203,0.7122,0.7624
0.8,0.7,0.6282,0.7922,0.6164,0.6933
0.8,0.8,0.2505,0.3428,0.1082,0.1645
0.8,0.9,0.2097,0.2893,0.1093,0.1585
0.9,0.0,0.7423,0.8277,0.7856,0.8061
0.9,0.1,0.7407,0.8285,0.7815,0.8043
0.9,0.2,0.7399,0.8278,0.781,0.8037
0.9,0.3,0.7387,0.8292,0.7767,0.802
0.9,0.4,0.7345,0.8288,0.7697,0.7981
0.9,0.5,0.7258,0.8287,0.7535,0.7893
0.9,0.6,0.7175,0.8257,0.7423,0.7818
0.9,0.7,0.6831,0.8156,0.6916,0.7485
0.9,0.8,0.5746,0.7597,0.5499,0.638
0.9,0.9,0.2162,0.2988,0.1114,0.1623
