ths+,ths-,accuracy,recursion,precision,F1
0.1,1,0.7874,0.8175,0.886,0.8504
0,0.6,0.7866,0.815,0.8889,0.8503
0.2,0.9,0.7874,0.8199,0.8819,0.8497
0.8,1,0.7867,0.8178,0.8841,0.8497
0.3,1,0.7863,0.8169,0.885,0.8496
0.1,0.3,0.7858,0.8164,0.8848,0.8492
0,0,0.7854,0.8157,0.8853,0.8491
0.1,0,0.7859,0.8175,0.8831,0.849
0.1,0.7,0.786,0.818,0.8826,0.849
0,0.7,0.7855,0.8167,0.8838,0.8489
0.1,0.8,0.7861,0.8189,0.8813,0.8489
0.9,1,0.7855,0.8166,0.8839,0.8489
0,0.9,0.7856,0.8175,0.8827,0.8488
0.2,0.8,0.7856,0.8175,0.8825,0.8488
0,0.1,0.7847,0.8145,0.8861,0.8487
0,0.3,0.7844,0.8139,0.8866,0.8487
0.4,1,0.7848,0.8155,0.8846,0.8486
0.7,1,0.785,0.8161,0.8839,0.8486
0.3,0.9,0.7853,0.8176,0.8819,0.8485
0.2,0.6,0.7856,0.8191,0.8799,0.8484
0.5,1,0.7855,0.8197,0.8788,0.8482
0.1,0.2,0.7847,0.8169,0.8819,0.8481
0.2,1,0.7847,0.8173,0.8815,0.8481
0.1,0.6,0.7856,0.8211,0.8767,0.8479
0.1,0.9,0.7843,0.8165,0.8818,0.8479
0.1,0.5,0.7845,0.8179,0.88,0.8478
0,0.2,0.7833,0.8134,0.8851,0.8477
0.3,0.8,0.786,0.823,0.874,0.8477
1,0.9,0.7843,0.8174,0.8803,0.8477
1,1,0.7838,0.8156,0.8825,0.8477
0,0.5,0.7837,0.816,0.8815,0.8475
0.4,0.9,0.7847,0.8201,0.8765,0.8474
0.6,1,0.7836,0.8163,0.8808,0.8473
0,0.8,0.7831,0.8155,0.8813,0.8472
0.1,0.4,0.7825,0.8138,0.883,0.847
0.3,0.7,0.7843,0.8202,0.8756,0.847
0,0.4,0.7825,0.8143,0.8823,0.8469
0.7,0.9,0.7831,0.8163,0.8799,0.8469
0.2,0.7,0.7841,0.8199,0.8757,0.8468
0.1,0.1,0.7824,0.8146,0.8815,0.8467
0.9,0.9,0.7832,0.8185,0.8764,0.8464
0.2,0.4,0.7832,0.8189,0.8758,0.8463
0.4,0.7,0.7838,0.821,0.8731,0.8463
0.2,0.3,0.7826,0.8174,0.8771,0.8462
0.2,0.2,0.7825,0.8176,0.8765,0.846
0.4,0.8,0.7823,0.8172,0.8769,0.846
0.7,0.8,0.7827,0.8184,0.8756,0.846
0.6,0.9,0.7821,0.817,0.8768,0.8459
0,1,0.7819,0.8172,0.8764,0.8456
0.5,0.9,0.7819,0.8174,0.8759,0.8456
0.2,0.1,0.7816,0.8169,0.876,0.8454
0.2,0.5,0.7826,0.8204,0.8721,0.8454
0.3,0.6,0.7824,0.821,0.8708,0.8451
0.2,0,0.7807,0.8154,0.8768,0.845
0.8,0.9,0.7809,0.8159,0.8763,0.845
0.9,0.8,0.7815,0.8187,0.8728,0.8449
0.5,0.7,0.7825,0.8238,0.8662,0.8445
0.5,0.8,0.7816,0.8207,0.8698,0.8445
0.4,0.6,0.7825,0.8242,0.8657,0.8444
1,0.8,0.7808,0.8187,0.8716,0.8443
0.3,0.5,0.781,0.8207,0.8685,0.8439
0.3,0.4,0.7807,0.8216,0.8666,0.8435
0.6,0.8,0.78,0.8189,0.8697,0.8435
0.8,0.8,0.7783,0.8173,0.8691,0.8424
0.9,0.7,0.7781,0.8241,0.8575,0.8405
0.3,0.1,0.7768,0.8198,0.8621,0.8404
0.3,0.3,0.777,0.8209,0.8608,0.8403
1,0.7,0.7776,0.8229,0.8585,0.8403
0.3,0,0.7772,0.8219,0.8593,0.8402
